query_number,execution_time
1,2.7903
2,11.564925
3,45.69489
4,5.070103
5,15.761227
6,2.592071
7,3.646553
8,4.643509
9,49.117977
10,3.805295
11,57.060153
12,1.071744
13,3.076727
14,4.940403
15,3.76516
16,2.682297
17,48.874875
18,9.136111
19,3.721125
20,32.676401
Total Execution Time:,311.69184600000006
Average Execution Time:,15.584592300000002
