Query Number,Execution Time (ms)
Q1,866.914
Q2,1097.715
Q3,888.083
Q4,1005.18
Q5,1065.786
Q6,1149.221
Q7,1245.571
Q8,1753.556
Q9,1655.248
Q10,3.182
Q11,1388.46
Q12,1771.377
Q13,1649.439
Q14,1128.996
Q15,29811.482
Q16,7446.878
Q17,8030.615
