Query_Number,Execution_Time_ms
Q1,1413.543
Q2,2052.539
Q3,14745.708
Q4,1581.983
Q5,6835.758
Q6,834.399
Q7,1303.129
Q8,1453.337
Q9,13832.94
Q10,8382.623
Q11,26434.467
Q12,2406.915
Q13,3355.892
Q14,1562.721
Q15,1496.646
Q16,767.628
Q17,46883.702
Q18,2833.011
Q19,1444.549
Q20,19338.254

Total Execution Time:  158959.744 ms
Average Execution Time: 7947.9872 ms
