Query Number,Execution Time (ms)
Q1,1441.137
Q2,1281.501
Q3,1669.345
Q4,1668.544
Q5,2346.928
Q6,1645.551
Q7,1764.746
Q8,2222.442
Q9,2077.341
Q10,1443.522
Q11,1747.635
Q12,2646.861
Q13,2613.782
Q14,1686.293
Q15,42519.821
Q16,12500.067
Q17,13579.668

Total Execution Time: 94855.18400000001 ms
Average Execution Time: 5579.716705882353 ms
