Query Number,Execution Time (ms)
Q1,2588.703
Q2,1678.529
Q3,1790.014
Q4,1484.333
Q5,2296.731
Q6,1914.14
Q7,1850.072
Q8,2106.607
Q9,2281.163
Q10,1382.359
Q11,1914.467
Q12,2649.983
Q13,2693.704
Q14,1711.278
Q15,39853.662
Q16,12403.583
Q17,13642.486

Total Execution Time: 94241.814 ms
Average Execution Time: 5543.636117647059 ms
