query_number,execution_time
1,811.986
"
"
2,903.843
"
"
3,909.131
"
"
4,1008.931
"
"
5,1009.1
"
"
6,1005.342
"
"
7,1050.531
"
"
8,1609.11
"
"
9,1591.164
"
"
10,933.049
"
"
11,1342.103
"
"
12,1682.466
"
"
13,1701.172
"
"
14,1143.259
"
"
15,21105.669
"
"
16,7532.056
"
"
17,7067.994
"
"
Total Execution Time:,52406.905999999995
Average Execution Time:,3082.759176470588
