query_number,execution_time
1,0.91176
"
"
2,2.995298
"
"
3,12.95524
"
"
4,1.899475
"
"
5,4.851313
"
"
6,1.135406
"
"
7,1.833556
"
"
8,1.765364
"
"
9,11.714311
"
"
10,2.669909
"
"
11,22.308377
"
"
12,0.54104
"
"
13,2.352674
"
"
14,1.771179
"
"
15,1.869996
"
"
16,0.947205
"
"
17,28.586455
"
"
18,1.576631
"
"
19,1.80027
"
"
20,19.832331
"
"
Total Execution Time:,124.31778999999999
Average Execution Time:,6.215889499999999
