query_number,execution_time
1,0.061479
2,2.700822
3,67.274309
4,4.666334
5,7.90864
6,2.797064
7,3.829638
8,4.382112
9,36.567952
10,3.563181
11,54.118835
12,4.12769
13,2.739693
14,4.392578
15,3.445301
16,0.005128
17,47.833789
18,5.538527
19,2.866242
20,36.497876
Total Execution Time:,295.31719
Average Execution Time:,14.7658595
