query_number,execution_time
1,0.017338
"
"
2,1.146315
"
"
3,17.894253
"
"
4,2.005335
"
"
5,4.710667
"
"
6,1.041212
"
"
7,1.9866
"
"
8,1.816576
"
"
9,12.773071
"
"
10,2.7291
"
"
11,23.838458
"
"
12,0.494379
"
"
13,2.278252
"
"
14,1.80296
"
"
15,1.812908
"
"
16,0.009007
"
"
17,31.366116
"
"
18,1.599134
"
"
19,1.585811
"
"
20,20.286848
"
"
Total Execution Time:,131.19434
Average Execution Time:,6.559717000000001
