Query Number,Execution Time (ms)
Q1,14.718
Q2,753.602
Q3,24831.162
Q4,1538.499
Q5,6550.75
Q6,808.036
Q7,1303.651
Q8,1362.773
Q9,13573.224
Q10,2188.732
Q11,26045.644
Q12,794.466
Q13,3390.74
Q14,1431.695
Q15,1439.726
Q16,1.945
Q17,45507.577
Q18,1235.292
Q19,1269.447
Q20,19417.477

Total Execution Time: 153459.15599 ms
Average Execution Time: 7672.9577 ms
