Query_Number,Execution_Time_ms
Q1,2553.859
Q2,5417.374
Q3,6023.642
Q4,6270.327
Q5,6634.601
Q6,6713.348
Q7,3185.158
Q8,1515.575
Q9,1864.289
Q10,6230.635
Q11,6497.83
Q12,1501.47
Q13,1495.861
Q14,1539.29
Q15,1538.452
Q16,7290.452
Q17,1421.69
Q18,1404.083
Q19,5392.658
Q20,107554.113

Total Execution Time: 182044.707 ms
Average Execution Time: 9102.235349999999 ms
