Query Number,Execution Time (ms)
Q1,3487.065
Q2,6397.095
Q3,6028.237
Q4,1644.928
Q5,1613.513
Q6,1636.239
Q7,3488.044
Q8,1548.19
Q9,1909.833
Q10,1590.562
Q11,6703.045
Q12,1590.356
Q13,1547.185
Q14,1631.441
Q15,1575.583
Q16,9779.04
Q17,1981.79
Q18,2154.447
Q19,6153.08
Q20,121593.21

Total Execution Time: 184052.883 ms
Average Execution Time: 9202.64415 ms
