Query Number,Operator,Initial Cost,Final Cost
Q1,Seq Scan on json_montoldre_row,0.0,595697.26
Q2,Seq Scan on json_montoldre_row,0.0,624684.77
Q3,Hash Join,248.36,627978.46
Q3,->  Seq Scan on json_montoldre_row r,0.0,621786.02
Q3,->  Hash,150.38,150.38
Q3,->  Seq Scan on json_file f,0.0,150.38
Q4,Finalize GroupAggregate,578632.35,578850.84
Q4,->  Gather Merge,578632.35,578831.63
Q4,->  Sort,577632.32,577634.46
Q4,->  Partial HashAggregate,577580.07,577590.74
Q4,->  Parallel Seq Scan on json_montoldre_row,0.0,570333.19
Q5,Group,575008.91,575214.6
Q5,->  Gather Merge,575008.91,575208.19
Q5,->  Sort,574008.89,574011.02
Q5,->  Partial HashAggregate,573956.63,573967.3
Q5,->  Parallel Seq Scan on json_montoldre_row,0.0,570333.19
Q6,Sort,578892.42,578894.56
Q6,->  Finalize GroupAggregate,578632.35,578850.84
Q6,->  Gather Merge,578632.35,578831.63
Q6,->  Sort,577632.32,577634.46
Q6,->  Partial HashAggregate,577580.07,577590.74
Q6,->  Parallel Seq Scan on json_montoldre_row,0.0,570333.19
Q7,Gather Merge,809793.31,1148004.43
Q7,->  Sort,808793.29,812416.73
Q7,->  Parallel Seq Scan on json_montoldre_row,0.0,581203.5
Q8,Gather,1000.0,598454.68
Q8,->  Parallel Seq Scan on json_montoldre_row,0.0,595715.38
Q9,Group,575439.42,575681.34
Q9,->  Gather Merge,575439.42,575674.94
Q9,->  Group,574439.4,574477.77
Q9,->  Sort,574439.4,574457.51
Q9,->  Parallel Seq Scan on json_montoldre_row,0.0,573974.75
Q10,Unique,575229.81,575238.35
Q10,->  Sort,575229.81,575234.08
Q10,->  Gather,574956.63,575138.1
Q10,->  HashAggregate,573956.63,573967.3
Q10,->  Parallel Seq Scan on json_montoldre_row,0.0,570333.19
Q11,Hash Join,196.89,598722.65
Q11,->  Seq Scan on json_montoldre_row r,0.0,587001.01
Q11,->  Hash,169.98,169.98
Q11,->  Seq Scan on json_file f,0.0,169.98
Q12,Finalize Aggregate,582203.72,582203.73
Q12,->  Gather,582203.5,582203.71
Q12,->  Partial Aggregate,581203.5,581203.51
Q12,->  Parallel Seq Scan on json_montoldre_row,0.0,566709.75
Q13,Finalize Aggregate,582203.72,582203.73
Q13,->  Gather,582203.5,582203.71
Q13,->  Partial Aggregate,581203.5,581203.51
Q13,->  Parallel Seq Scan on json_montoldre_row,0.0,566709.75
Q14,Finalize Aggregate,582203.72,582203.73
Q14,->  Gather,582203.5,582203.71
Q14,->  Partial Aggregate,581203.5,581203.51
Q14,->  Parallel Seq Scan on json_montoldre_row,0.0,566709.75
Q15,Finalize Aggregate,582203.72,582203.73
Q15,->  Gather,582203.5,582203.71
Q15,->  Partial Aggregate,581203.5,581203.51
Q15,->  Parallel Seq Scan on json_montoldre_row,0.0,566709.75
Q16,HashAggregate,741721.8,783974.91
Q16,->  Seq Scan on json_montoldre_row,0.0,610191.02
Q17,Finalize Aggregate,572583.98,572583.99
Q17,->  Gather,572583.76,572583.97
Q17,->  Partial Aggregate,571583.76,571583.77
Q17,->  Parallel Seq Scan on json_montoldre_row,0.0,570333.19
Q18,Finalize Aggregate,582239.96,582239.97
Q18,->  Gather,582239.74,582239.95
Q18,->  Partial Aggregate,581239.74,581239.75
Q18,->  Parallel Seq Scan on json_montoldre_row,0.0,581203.51
Q19,Seq Scan on json_montoldre_row,0.0,624684.77
Q20,Limit,1136880.63,1170648.34
Q20,->  Hash Join,1136880.63,4087019281.63
Q20,->  Hash Join,248.36,596385.37
Q20,->  Seq Scan on json_montoldre_row r,0.0,587001.01
Q20,->  Hash,150.38,150.38
Q20,->  Seq Scan on json_file f,0.0,150.38
Q20,->  Hash,587001.01,587001.01
Q20,->  Seq Scan on json_montoldre_row s,0.0,587001.01
Total Initial Cost Q1,0.0
Total Final Cost Q1,595697.26
Total Initial Cost Q2,0.0
Total Final Cost Q2,624684.77
Total Initial Cost Q3,398.74
Total Final Cost Q3,1250065.2399999998
Total Initial Cost Q4,2312477.09
Total Final Cost Q4,2883240.86
Total Initial Cost Q5,2297983.34
Total Final Cost Q5,2868734.3000000003
Total Initial Cost Q6,2891369.51
Total Final Cost Q6,3462135.4199999995
Total Initial Cost Q7,1618586.6
Total Final Cost Q7,2541624.66
Total Initial Cost Q8,1000.0
Total Final Cost Q8,1194170.06
Total Initial Cost Q9,2299757.64
Total Final Cost Q9,2874266.3099999996
Total Initial Cost Q10,2299372.88
Total Final Cost Q10,2869911.02
Total Initial Cost Q11,366.87
Total Final Cost Q11,1186063.62
Total Initial Cost Q12,1745610.72
Total Final Cost Q12,2312320.7
Total Initial Cost Q13,1745610.72
Total Final Cost Q13,2312320.7
Total Initial Cost Q14,1745610.72
Total Final Cost Q14,2312320.7
Total Initial Cost Q15,1745610.72
Total Final Cost Q15,2312320.7
Total Initial Cost Q16,741721.8
Total Final Cost Q16,1394165.9300000002
Total Initial Cost Q17,1716751.5
Total Final Cost Q17,2287084.92
Total Initial Cost Q18,1745719.44
Total Final Cost Q18,2326923.1799999997
Total Initial Cost Q19,0.0
Total Final Cost Q19,624684.77
Total Initial Cost Q20,2861161.01
Total Final Cost Q20,4090547619.130001
Overall Total Initial Cost,27769109.300000004
Overall Total Final Cost,4128780354.250001
