query_number,execution_time
1,889.252
"
"
2,784.525
"
"
3,851.714
"
"
4,910.42
"
"
5,942.685
"
"
6,1048.879
"
"
7,1170.808
"
"
8,1546.711
"
"
9,1551.57
"
"
10,936.932
"
"
11,1312.325
"
"
12,1674.556
"
"
13,1713.626
"
"
14,1123.688
"
"
15,21778.248
"
"
16,7972.778
"
"
17,8127.688
"
"
Total Execution Time:,54336.405
Average Execution Time:,3196.2591176470587
