Query Number,Execution Time (ms)
Q1,872.14
Q2,914.41
Q3,988.41
Q4,1064.471
Q5,1053.583
Q6,1128.206
Q7,1179.908
Q8,1675.086
Q9,1661.05
Q10,2.422
Q11,1359.605
Q12,1753.762
Q13,1802.488
Q14,1145.917
Q15,20916.574
Q16,7713.887
Q17,7886.362
