Query Number,Execution Time (ms)
Q1,1733.226
Q2,920.063
Q3,1067.719
Q4,1037.15
Q5,1080.739
Q6,1129.418
Q7,1188.966
Q8,1566.004
Q9,1621.253
Q10,938.318
Q11,1340.389
Q12,1792.701
Q13,1823.702
Q14,1087.951
Q15,23045.005
Q16,8466.958
Q17,8590.857
