query_number,execution_time
1,5.263009
2,5.934471
3,5.857043
4,6.128209
5,5.700891
6,6.08467
7,3.228926
8,1.561312
9,1.846179
10,5.891284
11,7.913134
12,1.772834
13,1.513413
14,1.457393
15,1.436499
16,7.537244
17,1.454909
18,1.504836
19,5.494103
20,126.869091
Total Execution Time:,204.44945
Average Execution Time:,10.2224725
