Query Number,Operator,Planned Rows AIndex,Actual Rows AIndex
Q1,Total,2,229
Q2,Total,2,1283
Q3,Total,6,29427
Q4,Total,3,3047
Q5,Total,3,28831
Q6,Total,2,63739
Q7,Total,2,108636
Q8,Total,2,419924
Q9,Total,2,419945
Q10,Total,79,217
Q11,Total,106,422271
Q12,Total,17395,268654
Q13,Total,17395,268642
Q14,Total,217,84828
Q15,Total,31680,3720080
Q16,Total,15840,2976063
Q17,Total,15840,2976063
