Query_Number,Execution_Time_ms
Q1,894.546
Q2,885.842
Q3,909.097
Q4,958.63
Q5,1116.594
Q6,1096.523
Q7,1163.142
Q8,1671.734
Q9,1729.788
Q10,1027.391
Q11,1394.911
Q12,1757.505
Q13,1723.919
Q14,1148.558
Q15,20754.422
Q16,7445.027
Q17,8251.356
