Query_Number,Execution_Time_ms
Q1,853.838
Q2,960.292
Q3,1045.146
Q4,1036.586
Q5,1089.208
Q6,1080.763
Q7,1096.973
Q8,1560.498
Q9,1649.94
Q10,897.115
Q11,1287.261
Q12,1743.788
Q13,1750.154
Q14,1180.912
Q15,20615.108
Q16,7541.976
Q17,8710.144
