Query_Number,Execution_Time_ms
Q1,1464.64
Q2,1211.56
Q3,5453.584
Q4,7149.231
Q5,6691.772
Q6,6962.576
Q7,2056.266
Q8,758.982
Q9,1045.125
Q10,7123.219
Q11,7250.144
Q12,848.118
Q13,794.098
Q14,822.456
Q15,828.604
Q16,7985.985
Q17,768.111
Q18,792.111
Q19,7079.334
Q20,55635.617
Total_Execution_Time,122721.533
Average_Execution_Time,6136.076
