Query_Number,Execution_Time_ms
Q1,1453.05
Q2,1.636
Q3,1.657
Q4,1356.03
Q5,5239.425
Q6,5966.789
Q7,1833.969
Q8,8.327
Q9,1033.784
Q10,5667.043
Q11,6720.948
Q12,829.536
Q13,778.06
Q14,0.022
Q15,0.044
Q16,6804.413
Q17,769.24
Q18,1.042
Q19,0.172
Q20,46011.546
Total_Execution_Time,84476.73
Average_Execution_Time,4223.836
