query_number,execution_time
1,0.856655
"
"
2,2.757708
"
"
3,13.446805
"
"
4,2.019374
"
"
5,4.869439
"
"
6,1.029836
"
"
7,2.065853
"
"
8,1.774815
"
"
9,12.7818
"
"
10,2.768858
"
"
11,24.091796
"
"
12,0.585021
"
"
13,2.370974
"
"
14,1.786013
"
"
15,1.838882
"
"
16,0.919431
"
"
17,31.112191
"
"
18,1.562598
"
"
19,1.813039
"
"
20,20.831455
"
"
Total Execution Time:,131.28254299999998
Average Execution Time:,6.564127149999999
