Query Number,Execution Time (ms)
Q1,1.201
Q2,1692.02
Q3,28139.68
Q4,3410.845
Q5,8128.803
Q6,1572.135
Q7,2529.005
Q8,2844.924
Q9,28850.427
Q10,3252.245
Q11,44977.129
Q12,4333.159
Q13,3342.529
Q14,5184.526
Q15,2677.078
Q16,1.663
Q17,60160.92
Q18,5712.42
Q19,2608.949
Q20,32044.364


Total Execution Time: 241464.022 ms
Average Execution Time: 12073.2011 ms
