Query Number,Execution Time (ms)
Q1,2419.392
Q2,7977.886
Q3,32227.211
Q4,5377.047
Q5,8819.272
Q6,1750.538
Q7,2581.986
Q8,3183.188
Q9,26586.103
Q10,3817.1
Q11,49873.322
Q12,3318.777
Q13,3230.947
Q14,5028.548
Q15,2763.612
Q16,1609.719
Q17,66981.992
Q18,7902.196
Q19,3019.033
Q20,36181.912

Total Execution Time: 274649.781 ms
Average Execution Time: 13732.48905 ms
