Query Number,Operator,Initial Cost,Final Cost
Q1,Update on json_montoldre_row,0.0,609366.74
Q1,->  Seq Scan on json_montoldre_row,0.0,609366.74
Q2,Update on json_montoldre_row,0.0,609366.74
Q2,->  Seq Scan on json_montoldre_row,0.0,609366.74
Q3,Update on json_montoldre_row,0.0,609366.74
Q3,->  Seq Scan on json_montoldre_row,0.0,609366.74
Q4,Update on json_montoldre_row,0.0,609366.74
Q4,->  Seq Scan on json_montoldre_row,0.0,609366.74
Q5,Update on json_montoldre_row,0.0,609366.74
Q5,->  Seq Scan on json_montoldre_row,0.0,609366.74
Q6,Update on json_montoldre_row,0.0,609366.74
Q6,->  Seq Scan on json_montoldre_row,0.0,609366.74
Q7,Update on json_montoldre_row,0.0,609366.74
Q7,->  Seq Scan on json_montoldre_row,0.0,609366.74
Q8,Update on json_montoldre_row,0.0,609366.74
Q8,->  Seq Scan on json_montoldre_row,0.0,609366.74
Q9,Update on json_montoldre_row,0.0,609366.74
Q9,->  Seq Scan on json_montoldre_row,0.0,609366.74
Total Initial Cost Q1,0.0
Total Final Cost Q1,1218733.48
Total Initial Cost Q2,0.0
Total Final Cost Q2,1218733.48
Total Initial Cost Q3,0.0
Total Final Cost Q3,1218733.48
Total Initial Cost Q4,0.0
Total Final Cost Q4,1218733.48
Total Initial Cost Q5,0.0
Total Final Cost Q5,1218733.48
Total Initial Cost Q6,0.0
Total Final Cost Q6,1218733.48
Total Initial Cost Q7,0.0
Total Final Cost Q7,1218733.48
Total Initial Cost Q8,0.0
Total Final Cost Q8,1218733.48
Total Initial Cost Q9,0.0
Total Final Cost Q9,1218733.48
Overall Total Initial Cost,0.0
Overall Total Final Cost,10968601.320000002
