Query Number,Execution Time (ms)
Q1,41806.811
Q2,57528.211
Q3,54147.612
Q4,51817.471
Q5,52737.646
Q6,53605.797
Q7,52611.095
Q8,55969.46
Q9,52857.229
Q10,52871.616
Q11,53188.685
Q12,53739.583

Total Execution Time: 632881.2160000001 ms
Average Execution Time: 52740.10133333335 ms
