Query Number,Execution Time (ms)
Q1,39819.82
Q2,55864.527
Q3,58072.356
Q4,57345.828
Q5,63886.486
Q6,62349.626
Q7,55430.501
Q8,53311.459
Q9,54619.082
Q10,54151.049
Q11,54314.111
Q12,53529.243

Total Execution Time: 662694.088 ms
Average Execution Time: 55224.507333333335 ms
