query_number,execution_time
1,870.027
"
"
2,912.846
"
"
3,903.025
"
"
4,1012.617
"
"
5,1048.355
"
"
6,1083.336
"
"
7,1216.512
"
"
8,1683.277
"
"
9,1596.625
"
"
10,972.351
"
"
11,1598.008
"
"
12,1730.833
"
"
13,1730.024
"
"
14,1155.889
"
"
15,21723.979
"
"
16,7731.914
"
"
17,8009.808
"
"
Total Execution Time:,54979.42599999999
Average Execution Time:,3234.0838823529407
